Sample,PLATE,SAMPLE,Home/Away,ROW,COLUMN,Original Mass,Final Mass,Mass Consumed,% Consumed,Bucket,Treatment,Mass Consumed_1
669,9,ELK-2,H,G,6,0.35,0.25,0.1,28.57142857,5,Untreated,0.1
465,9,LH-3,A,E,6,0.37,0.26,0.11,29.72972973,5,Untreated,0.11
705,9,LH-5,A,G,9,0.37,0.26,0.11,29.72972973,5,Untreated,0.11
321,9,ELK-2,H,D,1,0.39,0.28,0.11,28.20512821,5,Untreated,0.11
357,9,ELK-10,H,D,7,0.38,0.27,0.11,28.94736842,5,Untreated,0.11
417,9,ELK-2,H,D,12,0.38,0.27,0.11,28.94736842,5,Untreated,0.11
514,9,ELK-3,H,F,2,0.35,0.24,0.11,31.42857143,5,Untreated,0.11
609,9,ELK-9,H,G,1,0.3,0.19,0.11,36.66666667,5,Untreated,0.11
237,9,LH-4,A,C,4,0.4,0.28,0.12,30,5,Untreated,0.12
549,9,LH-7,A,F,6,0.37,0.25,0.12,32.43243243,5,Untreated,0.12
741,9,LH-1,A,G,12,0.33,0.21,0.12,36.36363636,5,Untreated,0.12
717,9,CONTROL,C,G,10,0.39,0.27,0.12,30.76923077,5,Untreated,0.12
489,9,ELK-1,H,E,9,0.42,0.3,0.12,28.57142857,5,Untreated,0.12
525,9,ELK-9,H,F,3,0.42,0.3,0.12,28.57142857,5,Untreated,0.12
765,9,ELK-8,H,H,5,0.39,0.27,0.12,30.76923077,5,Untreated,0.12
21,9,LH-4,A,A,3,0.41,0.28,0.13,31.70731707,5,Untreated,0.13
117,9,LH-10,A,B,4,0.4,0.27,0.13,32.5,5,Untreated,0.13
201,9,LH-8,A,B,12,0.42,0.29,0.13,30.95238095,5,Untreated,0.13
441,9,LH-1,A,E,2,0.33,0.2,0.13,39.39393939,5,Untreated,0.13
693,9,LH-10,A,G,8,0.32,0.19,0.13,40.625,5,Untreated,0.13
9,9,CONTROL,C,A,2,0.38,0.25,0.13,34.21052632,5,Untreated,0.13
105,9,ELK-4,H,B,1,0.36,0.23,0.13,36.11111111,5,Untreated,0.13
645,9,ELK-7,H,G,4,0.39,0.26,0.13,33.33333333,5,Untreated,0.13
789,9,LH-8,A,H,7,0.36,0.22,0.14,38.88888889,5,Untreated,0.14
477,9,ELK-4,H,E,7,0.38,0.24,0.14,36.84210526,5,Untreated,0.14
837,9,ELK-5,H,H,12,0.39,0.25,0.14,35.8974359,5,Untreated,0.14
345,9,LH-1,A,D,6,0.36,0.21,0.15,41.66666667,5,Untreated,0.15
405,9,LH-5,A,D,11,0.45,0.3,0.15,33.33333333,5,Untreated,0.15
825,9,LH-10,A,H,10,0.36,0.21,0.15,41.66666667,5,Untreated,0.15
93,9,CONTROL,C,A,11,0.38,0.23,0.15,39.47368421,5,Untreated,0.15
621,9,CONTROL,C,G,2,0.42,0.27,0.15,35.71428571,5,Untreated,0.15
69,9,CONTROL,C,A,9,0.44,0.28,0.16,36.36363636,5,Untreated,0.16
129,9,CONTROL,C,B,6,0.41,0.25,0.16,39.02439024,5,Untreated,0.16
429,9,CONTROL,C,E,1,0.37,0.21,0.16,43.24324324,5,Untreated,0.16
501,9,CONTROL,C,E,11,0.39,0.23,0.16,41.02564103,5,Untreated,0.16
213,9,ELK-9,H,C,2,0.39,0.23,0.16,41.02564103,5,Untreated,0.16
801,9,ELK-6,H,H,8,0.39,0.22,0.17,43.58974359,5,Untreated,0.17
777,9,LH-9,A,H,6,0.42,0.24,0.18,42.85714286,5,Untreated,0.18
813,9,LH-2,A,H,9,0.4,0.22,0.18,45,5,Untreated,0.18
261,9,CONTROL,C,C,6,0.41,0.23,0.18,43.90243902,5,Untreated,0.18
778,10,LH-9,A,H,6,0.34,0.34,0,0,5,Untreated,0
730,10,ELK-10,H,G,11,0.36,0.36,0,0,5,Untreated,0
790,10,LH-8,A,H,7,0.37,0.35,0.02,5.405405405,5,Untreated,0.02
286,10,ELK-8,H,C,8,0.34,0.31,0.03,8.823529412,5,Untreated,0.03
382,10,LH-2,A,D,9,0.36,0.32,0.04,11.11111111,5,Untreated,0.04
742,10,LH-1,A,G,12,0.34,0.3,0.04,11.76470588,5,Untreated,0.04
515,10,ELK-3,H,F,2,0.33,0.29,0.04,12.12121212,5,Untreated,0.04
598,10,ELK-4,H,F,11,0.31,0.27,0.04,12.90322581,5,Untreated,0.04
310,10,LH-7,A,C,11,0.39,0.34,0.05,12.82051282,5,Untreated,0.05
706,10,LH-5,A,G,9,0.36,0.31,0.05,13.88888889,5,Untreated,0.05
610,10,ELK-9,H,G,1,0.35,0.3,0.05,14.28571429,5,Untreated,0.05
58,10,LH-6,A,A,7,0.39,0.33,0.06,15.38461538,5,Untreated,0.06
394,10,LH-2,A,D,10,0.36,0.3,0.06,16.66666667,5,Untreated,0.06
406,10,LH-5,A,D,11,0.39,0.33,0.06,15.38461538,5,Untreated,0.06
262,10,CONTROL,C,C,6,0.4,0.34,0.06,15,5,Untreated,0.06
718,10,CONTROL,C,G,10,0.37,0.31,0.06,16.21621622,5,Untreated,0.06
358,10,ELK-10,H,D,7,0.37,0.31,0.06,16.21621622,5,Untreated,0.06
766,10,ELK-8,H,H,5,0.38,0.32,0.06,15.78947368,5,Untreated,0.06
802,10,ELK-6,H,H,8,0.35,0.29,0.06,17.14285714,5,Untreated,0.06
34,10,LH-9,A,A,5,0.3,0.23,0.07,23.33333333,5,Untreated,0.07
334,10,LH-3,A,D,5,0.39,0.32,0.07,17.94871795,5,Untreated,0.07
694,10,LH-10,A,G,8,0.38,0.31,0.07,18.42105263,5,Untreated,0.07
46,10,ELK-7,H,A,6,0.37,0.3,0.07,18.91891892,5,Untreated,0.07
190,10,ELK-3,H,B,11,0.37,0.3,0.07,18.91891892,5,Untreated,0.07
214,10,ELK-9,H,C,2,0.4,0.33,0.07,17.5,5,Untreated,0.07
658,10,ELK-7,H,G,5,0.34,0.27,0.07,20.58823529,5,Untreated,0.07
754,10,ELK-6,H,H,3,0.42,0.35,0.07,16.66666667,5,Untreated,0.07
226,10,LH-9,A,C,3,0.41,0.33,0.08,19.51219512,5,Untreated,0.08
466,10,LH-3,A,E,6,0.32,0.24,0.08,25,5,Untreated,0.08
562,10,LH-3,A,F,8,0.39,0.31,0.08,20.51282051,5,Untreated,0.08
682,10,LH-7,A,G,7,0.4,0.32,0.08,20,5,Untreated,0.08
106,10,ELK-4,H,B,1,0.37,0.29,0.08,21.62162162,5,Untreated,0.08
454,10,ELK-3,H,E,3,0.36,0.28,0.08,22.22222222,5,Untreated,0.08
634,10,ELK-1,H,G,3,0.38,0.3,0.08,21.05263158,5,Untreated,0.08
202,10,LH-8,A,B,12,0.35,0.26,0.09,25.71428571,5,Untreated,0.09
82,10,ELK-8,H,A,10,0.36,0.27,0.09,25,5,Untreated,0.09
490,10,ELK-1,H,E,9,0.32,0.23,0.09,28.125,5,Untreated,0.09
238,10,LH-4,A,C,4,0.36,0.26,0.1,27.77777778,5,Untreated,0.1
274,10,LH-5,A,C,7,0.39,0.29,0.1,25.64102564,5,Untreated,0.1
574,10,LH-4,A,F,9,0.37,0.27,0.1,27.02702703,5,Untreated,0.1
322,10,ELK-2,H,D,1,0.41,0.31,0.1,24.3902439,5,Untreated,0.1
418,10,ELK-2,H,D,12,0.36,0.26,0.1,27.77777778,5,Untreated,0.1
526,10,ELK-9,H,F,3,0.37,0.27,0.1,27.02702703,5,Untreated,0.1
646,10,ELK-7,H,G,4,0.4,0.3,0.1,25,5,Untreated,0.1
442,10,LH-1,A,E,2,0.37,0.26,0.11,29.72972973,5,Untreated,0.11
478,10,ELK-4,H,E,7,0.4,0.29,0.11,27.5,5,Untreated,0.11
118,10,LH-10,A,B,4,0.38,0.26,0.12,31.57894737,5,Untreated,0.12
346,10,LH-1,A,D,6,0.39,0.27,0.12,30.76923077,5,Untreated,0.12
130,10,CONTROL,C,B,6,0.38,0.26,0.12,31.57894737,5,Untreated,0.12
670,10,ELK-2,H,G,6,0.38,0.26,0.12,31.57894737,5,Untreated,0.12
826,10,LH-10,A,H,10,0.38,0.25,0.13,34.21052632,5,Untreated,0.13
622,10,CONTROL,C,G,2,0.35,0.22,0.13,37.14285714,5,Untreated,0.13
370,10,ELK-5,H,D,8,0.42,0.29,0.13,30.95238095,5,Untreated,0.13
838,10,ELK-5,H,H,12,0.4,0.27,0.13,32.5,5,Untreated,0.13
166,10,LH-8,A,B,9,0.4,0.26,0.14,35,5,Untreated,0.14
430,10,CONTROL,C,E,1,0.41,0.27,0.14,34.14634146,5,Untreated,0.14
178,10,ELK-1,H,B,10,0.4,0.26,0.14,35,5,Untreated,0.14
538,10,ELK-10,H,F,4,0.39,0.25,0.14,35.8974359,5,Untreated,0.14
250,10,LH-6,A,C,5,0.42,0.27,0.15,35.71428571,5,Untreated,0.15
70,10,CONTROL,C,A,9,0.39,0.24,0.15,38.46153846,5,Untreated,0.15
94,10,CONTROL,C,A,11,0.42,0.27,0.15,35.71428571,5,Untreated,0.15
154,10,ELK-5,H,B,8,0.45,0.3,0.15,33.33333333,5,Untreated,0.15
22,10,LH-4,A,A,3,0.4,0.24,0.16,40,5,Untreated,0.16
142,10,LH-6,A,B,7,0.42,0.26,0.16,38.0952381,5,Untreated,0.16
298,10,ELK-6,H,C,10,0.48,0.32,0.16,33.33333333,5,Untreated,0.16
814,10,LH-2,A,H,9,0.39,0.22,0.17,43.58974359,5,Untreated,0.17
10,10,CONTROL,C,A,2,0.42,0.25,0.17,40.47619048,5,Untreated,0.17
550,10,LH-7,A,F,6,0.32,0.13,0.19,59.375,5,Untreated,0.19
586,10,CONTROL,C,F,10,0.43,0.22,0.21,48.8372093,5,Untreated,0.21
502,10,CONTROL,C,E,11,0.44,0.22,0.22,50,5,Untreated,0.22
527,11,ELK-9,H,F,3,0.32,0.32,0,0,6,Antibiotic Treated,0
347,11,LH-1,A,D,6,0.35,0.32,0.03,8.571428571,6,Antibiotic Treated,0.03
695,11,LH-10,A,G,8,0.37,0.34,0.03,8.108108108,6,Antibiotic Treated,0.03
371,11,ELK-5,H,D,8,0.35,0.32,0.03,8.571428571,6,Antibiotic Treated,0.03
479,11,ELK-4,H,E,7,0.35,0.32,0.03,8.571428571,6,Antibiotic Treated,0.03
11,11,CONTROL,C,A,2,0.37,0.33,0.04,10.81081081,6,Antibiotic Treated,0.04
215,11,ELK-9,H,C,2,0.33,0.29,0.04,12.12121212,6,Antibiotic Treated,0.04
443,11,LH-1,A,E,2,0.36,0.31,0.05,13.88888889,6,Antibiotic Treated,0.05
251,11,LH-6,A,C,5,0.35,0.29,0.06,17.14285714,6,Antibiotic Treated,0.06
311,11,LH-7,A,C,11,0.37,0.31,0.06,16.21621622,6,Antibiotic Treated,0.06
455,11,ELK-3,H,E,3,0.37,0.31,0.06,16.21621622,6,Antibiotic Treated,0.06
827,11,LH-10,A,H,10,0.39,0.32,0.07,17.94871795,6,Antibiotic Treated,0.07
431,11,CONTROL,C,E,1,0.37,0.3,0.07,18.91891892,6,Antibiotic Treated,0.07
503,11,CONTROL,C,E,11,0.38,0.31,0.07,18.42105263,6,Antibiotic Treated,0.07
47,11,ELK-7,H,A,6,0.37,0.3,0.07,18.91891892,6,Antibiotic Treated,0.07
107,11,ELK-4,H,B,1,0.36,0.29,0.07,19.44444444,6,Antibiotic Treated,0.07
359,11,ELK-10,H,D,7,0.37,0.3,0.07,18.91891892,6,Antibiotic Treated,0.07
659,11,ELK-7,H,G,5,0.34,0.26,0.08,23.52941176,6,Antibiotic Treated,0.08
839,11,ELK-5,H,H,12,0.39,0.31,0.08,20.51282051,6,Antibiotic Treated,0.08
119,11,LH-10,A,B,4,0.4,0.31,0.09,22.5,6,Antibiotic Treated,0.09
383,11,LH-2,A,D,9,0.38,0.29,0.09,23.68421053,6,Antibiotic Treated,0.09
563,11,LH-3,A,F,8,0.4,0.31,0.09,22.5,6,Antibiotic Treated,0.09
539,11,ELK-10,H,F,4,0.37,0.28,0.09,24.32432432,6,Antibiotic Treated,0.09
611,11,ELK-9,H,G,1,0.35,0.26,0.09,25.71428571,6,Antibiotic Treated,0.09
755,11,ELK-6,H,H,3,0.38,0.29,0.09,23.68421053,6,Antibiotic Treated,0.09
803,11,ELK-6,H,H,8,0.38,0.29,0.09,23.68421053,6,Antibiotic Treated,0.09
275,11,LH-5,A,C,7,0.35,0.25,0.1,28.57142857,6,Antibiotic Treated,0.1
407,11,LH-5,A,D,11,0.36,0.26,0.1,27.77777778,6,Antibiotic Treated,0.1
551,11,LH-7,A,F,6,0.39,0.29,0.1,25.64102564,6,Antibiotic Treated,0.1
683,11,LH-7,A,G,7,0.36,0.26,0.1,27.77777778,6,Antibiotic Treated,0.1
791,11,LH-8,A,H,7,0.35,0.25,0.1,28.57142857,6,Antibiotic Treated,0.1
83,11,ELK-8,H,A,10,0.38,0.28,0.1,26.31578947,6,Antibiotic Treated,0.1
155,11,ELK-5,H,B,8,0.39,0.29,0.1,25.64102564,6,Antibiotic Treated,0.1
299,11,ELK-6,H,C,10,0.38,0.28,0.1,26.31578947,6,Antibiotic Treated,0.1
323,11,ELK-2,H,D,1,0.38,0.28,0.1,26.31578947,6,Antibiotic Treated,0.1
419,11,ELK-2,H,D,12,0.36,0.26,0.1,27.77777778,6,Antibiotic Treated,0.1
647,11,ELK-7,H,G,4,0.4,0.3,0.1,25,6,Antibiotic Treated,0.1
23,11,LH-4,A,A,3,0.37,0.26,0.11,29.72972973,6,Antibiotic Treated,0.11
143,11,LH-6,A,B,7,0.37,0.26,0.11,29.72972973,6,Antibiotic Treated,0.11
395,11,LH-2,A,D,10,0.39,0.28,0.11,28.20512821,6,Antibiotic Treated,0.11
467,11,LH-3,A,E,6,0.37,0.26,0.11,29.72972973,6,Antibiotic Treated,0.11
707,11,LH-5,A,G,9,0.4,0.29,0.11,27.5,6,Antibiotic Treated,0.11
587,11,CONTROL,C,F,10,0.37,0.26,0.11,29.72972973,6,Antibiotic Treated,0.11
516,11,ELK-3,H,F,2,0.38,0.27,0.11,28.94736842,6,Antibiotic Treated,0.11
767,11,ELK-8,H,H,5,0.4,0.29,0.11,27.5,6,Antibiotic Treated,0.11
227,11,LH-9,A,C,3,0.42,0.3,0.12,28.57142857,6,Antibiotic Treated,0.12
239,11,LH-4,A,C,4,0.41,0.29,0.12,29.26829268,6,Antibiotic Treated,0.12
575,11,LH-4,A,F,9,0.39,0.27,0.12,30.76923077,6,Antibiotic Treated,0.12
743,11,LH-1,A,G,12,0.4,0.28,0.12,30,6,Antibiotic Treated,0.12
263,11,CONTROL,C,C,6,0.4,0.27,0.13,32.5,6,Antibiotic Treated,0.13
623,11,CONTROL,C,G,2,0.39,0.26,0.13,33.33333333,6,Antibiotic Treated,0.13
719,11,CONTROL,C,G,10,0.4,0.27,0.13,32.5,6,Antibiotic Treated,0.13
671,11,ELK-2,H,G,6,0.39,0.26,0.13,33.33333333,6,Antibiotic Treated,0.13
59,11,LH-6,A,A,7,0.43,0.29,0.14,32.55813953,6,Antibiotic Treated,0.14
335,11,LH-3,A,D,5,0.39,0.25,0.14,35.8974359,6,Antibiotic Treated,0.14
779,11,LH-9,A,H,6,0.34,0.2,0.14,41.17647059,6,Antibiotic Treated,0.14
71,11,CONTROL,C,A,9,0.38,0.24,0.14,36.84210526,6,Antibiotic Treated,0.14
191,11,ELK-3,H,B,11,0.39,0.25,0.14,35.8974359,6,Antibiotic Treated,0.14
731,11,ELK-10,H,G,11,0.38,0.24,0.14,36.84210526,6,Antibiotic Treated,0.14
203,11,LH-8,A,B,12,0.4,0.25,0.15,37.5,6,Antibiotic Treated,0.15
599,11,ELK-4,H,F,11,0.36,0.21,0.15,41.66666667,6,Antibiotic Treated,0.15
635,11,ELK-1,H,G,3,0.43,0.28,0.15,34.88372093,6,Antibiotic Treated,0.15
35,11,LH-9,A,A,5,0.42,0.26,0.16,38.0952381,6,Antibiotic Treated,0.16
167,11,LH-8,A,B,9,0.42,0.26,0.16,38.0952381,6,Antibiotic Treated,0.16
179,11,ELK-1,H,B,10,0.4,0.24,0.16,40,6,Antibiotic Treated,0.16
287,11,ELK-8,H,C,8,0.46,0.3,0.16,34.7826087,6,Antibiotic Treated,0.16
95,11,CONTROL,C,A,11,0.39,0.22,0.17,43.58974359,6,Antibiotic Treated,0.17
815,11,LH-2,A,H,9,0.39,0.21,0.18,46.15384615,6,Antibiotic Treated,0.18
131,11,CONTROL,C,B,6,0.42,0.24,0.18,42.85714286,6,Antibiotic Treated,0.18
491,11,ELK-1,H,E,9,0.43,0.18,0.25,58.13953488,6,Antibiotic Treated,0.25
336,12,LH-3,A,D,5,0.33,0.34,-0.01,-3.03030303,6,Antibiotic Treated,0
408,12,LH-5,A,D,11,0.33,0.32,0.01,3.03030303,6,Antibiotic Treated,0.01
804,12,ELK-6,H,H,8,0.38,0.36,0.02,5.263157895,6,Antibiotic Treated,0.02
240,12,LH-4,A,C,4,0.38,0.35,0.03,7.894736842,6,Antibiotic Treated,0.03
252,12,LH-6,A,C,5,0.41,0.38,0.03,7.317073171,6,Antibiotic Treated,0.03
480,12,ELK-4,H,E,7,0.35,0.32,0.03,8.571428571,6,Antibiotic Treated,0.03
660,12,ELK-7,H,G,5,0.34,0.31,0.03,8.823529412,6,Antibiotic Treated,0.03
840,12,ELK-5,H,H,12,0.36,0.33,0.03,8.333333333,6,Antibiotic Treated,0.03
684,12,LH-7,A,G,7,0.35,0.31,0.04,11.42857143,6,Antibiotic Treated,0.04
696,12,LH-10,A,G,8,0.3,0.26,0.04,13.33333333,6,Antibiotic Treated,0.04
528,12,ELK-9,H,F,3,0.36,0.32,0.04,11.11111111,6,Antibiotic Treated,0.04
312,12,LH-7,A,C,11,0.36,0.31,0.05,13.88888889,6,Antibiotic Treated,0.05
24,12,LH-4,A,A,3,0.37,0.31,0.06,16.21621622,6,Antibiotic Treated,0.06
468,12,LH-3,A,E,6,0.36,0.3,0.06,16.66666667,6,Antibiotic Treated,0.06
816,12,LH-2,A,H,9,0.38,0.32,0.06,15.78947368,6,Antibiotic Treated,0.06
372,12,ELK-5,H,D,8,0.37,0.31,0.06,16.21621622,6,Antibiotic Treated,0.06
648,12,ELK-7,H,G,4,0.37,0.31,0.06,16.21621622,6,Antibiotic Treated,0.06
348,12,LH-1,A,D,6,0.38,0.31,0.07,18.42105263,6,Antibiotic Treated,0.07
396,12,LH-2,A,D,10,0.36,0.29,0.07,19.44444444,6,Antibiotic Treated,0.07
552,12,LH-7,A,F,6,0.34,0.27,0.07,20.58823529,6,Antibiotic Treated,0.07
576,12,LH-4,A,F,9,0.38,0.31,0.07,18.42105263,6,Antibiotic Treated,0.07
792,12,LH-8,A,H,7,0.39,0.32,0.07,17.94871795,6,Antibiotic Treated,0.07
156,12,ELK-5,H,B,8,0.37,0.3,0.07,18.91891892,6,Antibiotic Treated,0.07
540,12,ELK-10,H,F,4,0.38,0.31,0.07,18.42105263,6,Antibiotic Treated,0.07
600,12,ELK-4,H,F,11,0.41,0.34,0.07,17.07317073,6,Antibiotic Treated,0.07
672,12,ELK-2,H,G,6,0.37,0.3,0.07,18.91891892,6,Antibiotic Treated,0.07
384,12,LH-2,A,D,9,0.37,0.29,0.08,21.62162162,6,Antibiotic Treated,0.08
708,12,LH-5,A,G,9,0.36,0.28,0.08,22.22222222,6,Antibiotic Treated,0.08
744,12,LH-1,A,G,12,0.37,0.29,0.08,21.62162162,6,Antibiotic Treated,0.08
732,12,ELK-10,H,G,11,0.39,0.31,0.08,20.51282051,6,Antibiotic Treated,0.08
60,12,LH-6,A,A,7,0.42,0.33,0.09,21.42857143,6,Antibiotic Treated,0.09
144,12,LH-6,A,B,7,0.39,0.3,0.09,23.07692308,6,Antibiotic Treated,0.09
204,12,LH-8,A,B,12,0.38,0.29,0.09,23.68421053,6,Antibiotic Treated,0.09
564,12,LH-3,A,F,8,0.37,0.28,0.09,24.32432432,6,Antibiotic Treated,0.09
264,12,CONTROL,C,C,6,0.37,0.28,0.09,24.32432432,6,Antibiotic Treated,0.09
504,12,CONTROL,C,E,11,0.37,0.28,0.09,24.32432432,6,Antibiotic Treated,0.09
720,12,CONTROL,C,G,10,0.41,0.32,0.09,21.95121951,6,Antibiotic Treated,0.09
84,12,ELK-8,H,A,10,0.33,0.24,0.09,27.27272727,6,Antibiotic Treated,0.09
288,12,ELK-8,H,C,8,0.46,0.37,0.09,19.56521739,6,Antibiotic Treated,0.09
300,12,ELK-6,H,C,10,0.4,0.31,0.09,22.5,6,Antibiotic Treated,0.09
324,12,ELK-2,H,D,1,0.37,0.28,0.09,24.32432432,6,Antibiotic Treated,0.09
456,12,ELK-3,H,E,3,0.34,0.25,0.09,26.47058824,6,Antibiotic Treated,0.09
612,12,ELK-9,H,G,1,0.38,0.29,0.09,23.68421053,6,Antibiotic Treated,0.09
636,12,ELK-1,H,G,3,0.41,0.32,0.09,21.95121951,6,Antibiotic Treated,0.09
768,12,ELK-8,H,H,5,0.4,0.31,0.09,22.5,6,Antibiotic Treated,0.09
120,12,LH-10,A,B,4,0.37,0.27,0.1,27.02702703,6,Antibiotic Treated,0.1
276,12,LH-5,A,C,7,0.4,0.3,0.1,25,6,Antibiotic Treated,0.1
444,12,LH-1,A,E,2,0.36,0.26,0.1,27.77777778,6,Antibiotic Treated,0.1
828,12,LH-10,A,H,10,0.36,0.26,0.1,27.77777778,6,Antibiotic Treated,0.1
360,12,ELK-10,H,D,7,0.44,0.34,0.1,22.72727273,6,Antibiotic Treated,0.1
492,12,ELK-1,H,E,9,0.41,0.31,0.1,24.3902439,6,Antibiotic Treated,0.1
756,12,ELK-6,H,H,3,0.4,0.3,0.1,25,6,Antibiotic Treated,0.1
72,12,CONTROL,C,A,9,0.33,0.22,0.11,33.33333333,6,Antibiotic Treated,0.11
48,12,ELK-7,H,A,6,0.38,0.27,0.11,28.94736842,6,Antibiotic Treated,0.11
108,12,ELK-4,H,B,1,0.42,0.31,0.11,26.19047619,6,Antibiotic Treated,0.11
180,12,ELK-1,H,B,10,0.41,0.3,0.11,26.82926829,6,Antibiotic Treated,0.11
12,12,CONTROL,C,A,2,0.39,0.27,0.12,30.76923077,6,Antibiotic Treated,0.12
432,12,CONTROL,C,E,1,0.36,0.24,0.12,33.33333333,6,Antibiotic Treated,0.12
624,12,CONTROL,C,G,2,0.38,0.26,0.12,31.57894737,6,Antibiotic Treated,0.12
192,12,ELK-3,H,B,11,0.39,0.27,0.12,30.76923077,6,Antibiotic Treated,0.12
780,12,LH-9,A,H,6,0.41,0.28,0.13,31.70731707,6,Antibiotic Treated,0.13
588,12,CONTROL,C,F,10,0.4,0.27,0.13,32.5,6,Antibiotic Treated,0.13
216,12,ELK-9,H,C,2,0.42,0.29,0.13,30.95238095,6,Antibiotic Treated,0.13
420,12,ELK-2,H,D,12,0.38,0.25,0.13,34.21052632,6,Antibiotic Treated,0.13
132,12,CONTROL,C,B,6,0.39,0.25,0.14,35.8974359,6,Antibiotic Treated,0.14
517,12,ELK-3,H,F,2,0.36,0.22,0.14,38.88888889,6,Antibiotic Treated,0.14
36,12,LH-9,A,A,5,0.41,0.26,0.15,36.58536585,6,Antibiotic Treated,0.15
96,12,CONTROL,C,A,11,0.42,0.27,0.15,35.71428571,6,Antibiotic Treated,0.15
228,12,LH-9,A,C,3,0.38,0.22,0.16,42.10526316,6,Antibiotic Treated,0.16
168,12,LH-8,A,B,9,0.46,0.29,0.17,36.95652174,6,Antibiotic Treated,0.17
