Feature,mz,RT,Keep_hypothesis,Notes,Combined_Name
Feature_13473,427.0303103,3.8912346,0,,Feature_13473_SIRIUS_C20H10O11
Feature_2427,427.0306528,1.3908406,0,weird frags,Feature_2427_CMMC_Ellagic Acid_FBMN_cinoxacin CollisionEnergy:102040_SIRIUS_C20H10O11
Feature_3405,437.0720549,1.1641384,0,,Feature_3405_FBMN_Aviprin_SIRIUS_C19H16O12
Feature_9702,437.0722088,3.2513905,0,,Feature_9702_FBMN_CHEBI:182999_SIRIUS_C19H18O13
Feature_2829,447.0565165,0.91461074,1,"small mass, but three diagnostic frags",Feature_2829_FBMN_Pedunculagin_SIRIUS_C20H17O13
Feature_11314,453.0096166,3.830453,0,,Feature_11314_SIRIUS_C21H8O12
Feature_9444,453.0098739,3.2214231,0,,Feature_9444_FBMN_cinoxacin CollisionEnergy:205060_SIRIUS_C21H8O12
Feature_7002,453.0100518,2.90729,0,,"Feature_7002_CMMC_Xanthurenic acid_FBMN_1,4-DPCA ethyl ester_SIRIUS_C21H8O12"
Feature_2997,453.0100558,1.4027728,0,,Feature_2997_SIRIUS_C21H8O12
Feature_9299,455.0827771,3.3224626,0,,"Feature_9299_CMMC_quercetin 3-O-glucoside_FBMN_4-hydroxy-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1H-benzo[f][2]benzofuran-3-one_SIRIUS_C19H18O13"
Feature_8498,465.0671697,3.5458047,0,,"Feature_8498_CMMC_2,4-dimethyl-benzoic-acid_D(+)-galactose_FBMN_Pedunculagin_SIRIUS_C20H16O13"
Feature_8332,465.0672052,3.0537643,0,,Feature_8332_CMMC_3-Phenyllactic acid_FBMN_Pedunculagin_SIRIUS_C20H16O13
Feature_1751,465.0672328,0.88673425,0,,"Feature_1751_CMMC_2,4-dimethyl-benzoic-acid_D(+)-galactose_FBMN_Pedunculagin_SIRIUS_C20H18O14"
Feature_6255,465.0672337,1.8206909,0,,Feature_6255_CMMC_esculin_FBMN_Pedunculagin_SIRIUS_C20H16O13
Feature_4535,465.0672986,1.2880937,0,,Feature_4535_FBMN_Bisdemethoxycurcumin CollisionEnergy:205060_SIRIUS_C20H18O14
Feature_12166,471.0202445,3.7395222,0,,Feature_12166_SIRIUS_C21H10O13
Feature_1933,483.0776025,0.8791801,1,"small mass, but three diagnostic frags",Feature_1933_FBMN_Pedunculagin_SIRIUS_C20H18O14
Feature_9983,483.0776151,3.1387866,1,"small mass, but three diagnostic frags",Feature_9983_SIRIUS_C20H18O14
Feature_6589,483.0778429,1.8058022,1,"small mass, but three diagnostic frags",Feature_6589_FBMN_Pedunculagin_SIRIUS_C20H18O14
Feature_5015,483.0778459,1.454073,1,"small mass, but three diagnostic frags, some flav frags",Feature_5015_FBMN_Pedunculagin_SIRIUS_C20H18O14
Feature_7616,488.0469866,2.889826,0,"no 303, but supporting secondary fragments",Feature_7616_SIRIUS_C21H10O13
Feature_12229,488.0470452,3.743434,1,"this is a small mass, but has many hhdp fragments and a weak 303-- possibly a precursor to ellagitannin",Feature_12229_SIRIUS_C21H10O13
Feature_1746,500.1044133,0.8822891,1,"303 ellagic acid is present, small overall mass by 100",Feature_1746_FBMN_Pedunculagin_SIRIUS_C20H18O14
Feature_1850,514.0836027,0.9854353,0,not sure what this is but its small mass and has no diagnostic frags,Feature_1850_SIRIUS_C20H16O15
Feature_4266,615.0618779,1.1736953,0,more likely an phenolic glycoside,Feature_4266_SIRIUS_C27H22O19
Feature_11963,650.099971,3.4643035,1,"weak 303, with 427,453,471 mass and 287 frag, decent mass, kind of long rt tbh",Feature_11963_SIRIUS_C27H20O18
Feature_8403,650.100174,3.0514777,0,"no 303, but supporting secondary fragments",Feature_8403_SIRIUS_C27H20O18
Feature_7021,650.1002202,2.5345557,0,"no 303, but supporting secondary fragments","Feature_7021_FBMN_[(2E,6E)-1-Oxo-8-hydroxy-2,6-dimethylocta-2,6-dien-1-yl]beta-D-glucopyranoside_SIRIUS_C27H20O18"
Feature_3314,711.1159519,1.119278,1,"no 303, but supporting secondary fragments",Feature_3314_SIRIUS_C33H26O18
Feature_12354,767.0726672,3.7869353,1,"great mass, 303, 277, 259",Feature_12354_FBMN_Pedunculagin_SIRIUS_C34H22O21
Feature_7174,767.0734195,2.6085923,1,"great mass, 303, 277, 259",Feature_7174_FBMN_Pedunculagin_SIRIUS_C34H22O21
Feature_4127,785.0839818,1.1254895,1,"303,277,259",Feature_4127_SIRIUS_C34H24O22
Feature_5542,785.0841838,1.95772,1,strong pedunculagin,Feature_5542_FBMN_Pedunculagin_SIRIUS_C34H24O22
Feature_7118,785.0846031,2.447463,1,strong pedunculagin,Feature_7118_FBMN_Pedunculagin_SIRIUS_C34H24O22
Feature_1873,802.1099224,0.88922375,1,"lots of noise, strong 259/277/303 peaks- likely ellagitannin related - 345 peak is a bit strange could be an HHDP unit + ion",Feature_1873_SIRIUS_C36H24F3N3O14
Feature_3807,802.1108263,1.25488,1,"lots of noise, strong 259/277/303 peaks- likely ellagitannin related - 345 peak is a bit strange could be an HHDP unit + ion",Feature_3807_SIRIUS_C35H23N5O18
Feature_3454,803.0992683,0.99995106,1,strong 259/277/303,Feature_3454_SIRIUS_C34H26O23
Feature_9910,807.0653949,3.0881636,0,"Lots of strong frags, I do not know what this is. 3min elution time",Feature_9910_SIRIUS_C34H24O22
Feature_6269,807.0658512,1.9977336,0,"Lots of strong frags, I do not know what this is. 2min elution time",Feature_6269_SIRIUS_C34H24O22
Feature_5969,816.0886066,2.1773186,1,strong 259/277/303,Feature_5969_FBMN_Pedunculagin_40EV_SIRIUS_C36H25N5O14S2
Feature_6415,839.0884994,2.0184262,0,277/303 only,Feature_6415_SIRIUS_C35H28O23
Feature_7053,845.1169764,2.0132575,1,"cleaner than 3807, similar specs",Feature_7053_FBMN_Pedunculagin_SIRIUS_C40H28O21
Feature_5390,863.1259728,1.6648272,1,"big mass, 259/277/303 peaks",Feature_5390_SIRIUS_C40H30O22
Feature_6383,863.1269921,2.2195764,1,"big mass, 259/277/303 peaks",Feature_6383_SIRIUS_C40H30O22
Feature_7090,863.127494,2.6248014,0,277/303 only,Feature_7090_SIRIUS_C40H30O22
Feature_8503,869.0359886,3.0769517,0,not sure what this is but its big mass and has no diagnostic frags,Feature_8503_SIRIUS_C35H26O24
Feature_7047,869.036458,2.3820775,0,not sure what this is but its big mass and has no diagnostic frags,Feature_7047_SIRIUS_C42H22O19
Feature_8684,953.0967183,3.1398504,1,"No strong ellagic acid signature, but frags are present -- hhdp fragments are present though. ",Feature_8684_SIRIUS_C41H28O27
Feature_12299,958.060501,3.839443,0,"weak 303, long retention time, strong HHDP frags, no strong frags within 250-280",Feature_12299_SIRIUS_C42H25IN2O16
Feature_3702,964.16269,1.0666019,0,likely a flavanoid- stronger flav polymers than ellag frag,Feature_3702_SIRIUS_C48H29N5O18
Feature_10460,970.1168285,3.1309261,1,"despite larger retention time than desired, strong ellag and hhdp frags",Feature_10460_SIRIUS_C42H32IN7O13
Feature_7689,1002.109739,2.9984093,1,"big guy, strong ellag frag and decent hhdp frags",Feature_7689_SIRIUS_C47H27N3O23
Feature_7886,1002.138169,2.90182,1,"big guy, strong ellag frag and decent hhdp frags",Feature_7886_SIRIUS_C49H31NO23
Feature_9415,1013.120407,3.0962672,1,"big guy, strong ellag frag and decent hhdp frags",Feature_9415_SIRIUS_C47H32O26
Feature_6631,1013.12239,2.1557944,1,"big guy, strong ellag frag and decent hhdp frags",Feature_6631_SIRIUS_C47H32O26
Feature_5437,1013.123004,1.5441935,1,"big guy, decent ellag frag and strong hhdp frags",Feature_5437_SIRIUS_C47H32O26
