Feature ID,Domain,Phylum,Class,Order,Family,Genus,species
3be88f8274c425c665730cf05ea1ae4c,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Tetradesmus_obliquus
4e13a88e53218d14be546cb458cf87cf,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,uncultured_planctomycete
64d27faf53724eeae7c41cf824597adc,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
a7da93a9744a7863292bcf97d47b6a10,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Unassigned,Unassigned
2e047169d86b6f8f81a14f84fe4c9023,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_rhizophila
7a2b03d9e6cec7bf526e1858d8bce63c,Bacteria,Firmicutes,Bacilli,RsaHf231,RsaHf231,RsaHf231,uncultured_bacterium
e8c4470cea2d0aad86e0fbaa03d2f750,Bacteria,Firmicutes,Bacilli,Lactobacillales,Unassigned,Unassigned,Unassigned
67988f0f43e79bdb67e0a1450a583219,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_Chlorophyta
5648dccee530d68ceb3e4d7d22cf8756,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
4d04e6a8931d28d6d8ab862440dbad40,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Myrmecia_israeliensis
06555913cbd4cc7c3161fcd836cfdb51,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_Chlorophyta
b182282402eede51b95c9f9e49e81c96,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Coccomyxa_simplex
da0bcb7477927763538ec7006a883728,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus_borealis
97662c31b68c8ddca3c23e895f15c63c,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned
82819e0b6b0a7ba359661678cb034a42,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Unassigned
bc98e2330bfc147524b49d3c76465abd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
ddce78e6f6c85e2b2d5e309f78148786,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Coccomyxa_sp.
04ecfad5772d2e09a84a0f5ef460536c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Unassigned
df71de0e92459aa808364311135bb8fc,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Unassigned
70fc80cbf64bbc0f341284e4c9f14dea,Bacteria,Cyanobacteria,Cyanobacteriia,Unassigned,Unassigned,Unassigned,Unassigned
8735f92a7f18db944bc862777fbd3222,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
fc6622c636a5210293fb2873fc4761d9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Unassigned
8403a8dca999b687ba2bbe06f442d63d,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,Unassigned
e07abb21598a822a5e54f29a50c6b288,Bacteria,Cyanobacteria,Cyanobacteriia,Unassigned,Unassigned,Unassigned,Unassigned
436be357fce6ce489be5bcca4eb8c692,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Lecanora_strobilina
cdd8c3a5d0e8d6c1d1941980fe3146c5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassigned
ad16b779f2ec6d8afc200de7c5d2f39a,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Unassigned
